AOC date,Published date,Tender description,Org name,Area,Type of Work,Purchase type,Contract value,Supplier,Number of bids,type of tender,
31-Aug-2020 12:00 AM,11-Jul-2020 5:00 PM,CWE KOTA/ALW-20 OF 2020-21 PROVN OF INFRASTRUCTURE FOR COVID-19 IN MH ALWAR AT MILITARY STATION ALWAR/ CWE KOTA/ALW-20 OF 2020-21 / 2020_MES_360311_1,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE SWC AND CE JAIPUR JAIPUR - MES||CWE KOTA - MES,Jaipur,Works,Covid ward,3289924.2,"SINGH ENTERPRISES,S.S Enterprises,M/S JINDAL ENTERPRISES,shiva construction,Hitesh Construction,ALAKNANDA ENTERPRISES",6,,
27-Jul-2020 12:00 AM,09-Jul-2020 6:00 PM,PROVN OF GAS PIPE LINE WITH PLANT FOR COVID 19 ICU AND ISOLAtION WARD AT MH JAMNAGAR/ 8732 / 2020_MES_359441_1,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CESC AND CE JODHPUR ZONE - MES||CWE AHMEDABAD - MES||GE (ARMY) JAMNAGAR - MES,Jodhpur,Works,Covid ward,1458400,M/s.Bhavin Electricals,4,,
28-Jul-2020 12:00 AM,09-Jul-2020 10:00 AM,Provn of 8 med bricks to incl anti covid 19 items/ 3200/15/HE/447 / 2020_ARMY_359453_1,IHQ of MoD (Army)-(OSCC)||CIF-IHQ of MoD (Army)-(OSCC)||CIF V-CIF-IHQ of MoD (Army)-(OSCC)||FORCE HQ-IHQ OF MOD(Army),,Services,Covid Treatment,799988,M/S JANY ENTERPRISES,5,,
17-Aug-2020 12:00 AM,09-Jul-2020 9:00 AM,"Limited tender enquiry for Supply and delivery of Reusable Washable Cloth Face Mask Quantity Required, 25000 pcs on 3 Three months rate contract basis for Centenary Hospital ,Port Hospital Kolkata of SYAMA PRASAD MOOKERJEE PORT,KOLKATA/ MED/LMT/325/Covid-19/20-21/308 / 2020_KoPT_569496_1",Kolkata Port Trust||Kolkata Dock System - KoPT||Medical - KDS||O/o Chief Medical Officer - KDS,Kolkata,Goods,Covid Treatment,367500,"balaji pharmacy,AB ENTERPRISES",6,,
28-Jul-2020 12:00 AM,07-Jul-2020 12:00 AM,COVID KIT ON SWATCH BHARAT/ 20000029-HB-12531 / 360884,HINDUSTAN PETROLEUM CORPORATION LTD,,Goods,Covid Prevention,84550,C B MARKETING SERVICES,1,Limited,
01-Sep-2020 12:00 AM,04-Jul-2020 6:00 PM,"Carrying out sanitization work due to COVID-19 at Patia Transit camp, Infinia Tower office , Alok Bharti office and Bomikhal Transit Camp in SERPL Bhubaneswar HQ/ SERPL/BBS/TS/2020-21/016 / 2020_ERBBS_119885_1","IndianOil||Pipelines||PRRPL, Bhubaneswar||Technical Services",Bhubaneshwar,Works,Covid Prevention,351143.26,Clifford Facility Services Pvt.Ltd,3,,
14-Aug-2020 12:00 AM,03-Jul-2020 11:00 AM,AQ-66319 supply of Covid 19 PPE Kit/ AQ-66319 supply of Covid 19 PPE Kit / 2020_RCFL_568836_1,"Rashtriya Chemicals and Fertilizers Ltd.||IT,RCFLTD,MCF",,Goods,Covid PPE kit,3000,Madhukar Fastner And Services,2,,
31-Oct-2020 12:00 AM,01-Jul-2020 6:00 PM,REPAIR/ REPLACEMENT OF DISINFECTION SYSTEMS AT COVID-19 ICUS ISOLATION WARDS ICU EXTN WARDS COVID -19 OT NO 07 AND 08 AND OTHER MISC CONNECTED WORKS AT BASE HOSPITAL UNDER GE E/M BASE HOSPITAL DELHI/ GE/BH-31/2020-21 / 2020_MES_357521_1,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE WC and CE DELHI ZONE-MES||CWE NEW DELHI-MES||GE E/M BASE HOSPITAL DELHI CNATT-MES,Delhi,Works,Covid Prevention,4192351,SANJEEV ENTERPRISES,5,,
07-Aug-2020 12:00 AM,30-Jun-2020 9:00 AM,Sanitisation against Covid-19 at NTPC WR1 Mumbai Office And Powai GuestHouse For 12 Months/ NTPC/SSC - WR-I(Kawas)/9900204042 / 2020_NTPC_37936_1,NTPC Limited||Western Region - I Headquarter,Mumbai,Services,Covid Prevention,478084,SOUTH INDIA PEST CONTROL PRIVATE LIMITED,2,,
15-Jul-2020 12:00 AM,29-Jun-2020 4:30 PM,procurement of Standard Q Covid 19 Antigen kit Make M/s SD Biosensor/ VPCI/PUR/09-13/PA/20-21/15 / 2020_DU_567913_1,Delhi University||Vallabhbhai Patel Chest Institute - DU,Delhi,Goods,Covid Detection,252000,SD Biosensor Healthcare Pvt. Ltd,1,500 tests at 450 per test,
21-Aug-2020 12:00 AM,27-Jun-2020 10:00 AM,"Cleaning of Septic Tank, Sanitation work and other misc. civil works at Jealgora Regional Hospital for Covid-19 under Lodna Area/ BCCL/LA/Civil/NIT/2020-21/19 / 2020_BCCL_175724_1",Bharat Coking Coal Limited||BCCL_LODNA AREA,Lodna,Works,Covid Prevention,297155.22,Rahul Kumar,3,,
02-Sep-2020 12:00 AM,26-Jun-2020 3:00 PM,Rate Contract For Supply Of Hand Sanitizer for COVID-19 At Swami Vivekananda Airport Raipur For a Period Of 6 Months/ AAI/RPR/OPS/SANITIZER / 2020_AAI_51582_1,Airports Authority of India||Eastern Region - AAI||RAIPUR - AAI||CNS-VARP - AAI,Raipur,Goods,Covid Prevention,221400,Clifford Facility Services Pvt.Ltd,18,2700 ltrs of sanitizer,
06-Aug-2020 12:00 AM,26-Jun-2020 11:30 AM,"Sanitization for COVID 19 in all floors of Office Building and in all residential and non residential buildings from outside with Sodium Hypochlorite chemical for One year in CMPDI RI-1 Colony, Asansol/ CMPDI/RI-1/Civil/e-Tender/ 2020-21/173 / 2020_CMPDI_175944_1",Central Mine Planning and Design Institute Limited||Regional Institute - I||RR-I-Civil Department,,Works,Covid Prevention,180668.57,M R Construction,7,,
29-Jul-2020 12:00 AM,26-Jun-2020 12:00 AM,COVID PPE ASSAM POLICE/ 20000013-HB-11603 / 358391,HINDUSTAN PETROLEUM CORPORATION LTD,Assam,Goods,Covid Prevention,623000,GLOBAL ENTERPRISE,2,Limited,
24-Aug-2020 12:00 AM,25-Jun-2020 1:30 PM,"Supply and Installation of the RT PCR detection system(1 no) and Automated Nucleic Acid Extraction system (1 no) at ESIC Model Hospital and Medical College, K.K.Nagar, Chennai 78. as per tender document/ 512 U PB covid RTPCR 2020 21 J33 / 2020_ESIC_564434_1",Employees State Insurance Corporation||ESIC Hospital and PGIMSR-KK Nagar Chennai Tamilnadu||General Branch,Chennai,Works,Covid Detection,36943452,Invitrogen Bioservices India Pvt Ltd,3,"1718080 - rtpcr machine
1781800 - nucleic acid extraction syst",
09-Sep-2020 12:00 AM,24-Jun-2020 4:00 PM,"Job works are required to be carried out as addition/Altertion of existing AC Plant and misc E/M Works for providing negative pressure to Covid-19 ICU, Block at Military Hospital Meerut under AGE (Hosp) of GE (U) E/M Meerut Cantt./ 3064/10/E3 / 2020_MES_355475_1",E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE CC AND CE BAREILLY ZONE - MES||CWE MEERUT - MES||GE (U) EM Meerut - MES,Bareilly,Works,Covid Allied,148200,"Jain Traders,AIRCOM",2,,
22-Aug-2020 12:00 AM,24-Jun-2020 12:00 AM,Safety items to counter COVID/ 20000009-HB-11644 / 366897,HINDUSTAN PETROLEUM CORPORATION LTD,,Goods,Covid Prevention,,,,,
17-Jul-2020 12:00 AM,24-Jun-2020 12:00 AM,Spply-COVIDPreventive Material/ 20000031-HB-11584 / 355519,HINDUSTAN PETROLEUM CORPORATION LTD,,Goods,Covid Prevention,173500,JEEVAN RAMESH SAWANT,3,,
20-Jul-2020 12:00 AM,23-Jun-2020 10:00 AM,PROVN OF MED/VET MEDICINE AND ANTI COVID-19 ITEMS IN UNIT AOR UNDER SADHAVANA-XXIII/ 15/HE/463/2020-21 / 2020_IHQA_540884_1,IHQ of MoD (Army)||15 CORPS||E DIV,,Goods,Covid Treatment,100000,Jalal Enterpirses,1,"884 - PPE, viral media - 264, sanitizer (50ml) - 80, n95 - 308, mask (1 pkt) - 661",
27-Jul-2020 12:00 AM,22-Jun-2020 6:00 PM,"Rate Contract for Supply of Hand Sanitizer and Sodium Hypochlorite Solution etc. for COVID-19 at Chandigarh International Airport, Mohali for the period of 3 months./ CHIAL/STORES/Sanitizer/20-21 / 2020_AAI_51164_1",Airports Authority of India||Northern Region - AAI||SRINAGAR - AAI||ENGG CIVIL-SRINAGAR - AAI,Srinagar,Goods,Covid Prevention,185000,FAIRDEAL AGENCIES (PROP. GOYAL AGENCIES PVT. LTD.),11,425 lts of sanitizer + 250 lt of sodium hypochlorite,
04-Jul-2020 12:00 AM,22-Jun-2020 9:00 AM,"REPAIR/REPLACEMENT OF MEDICAL GAS OXYGEN PIPELINE, VALVES, GAS MANIFOLD AND OTHER CONNECTED ITEMS AT VIP OFFRS COVID 19 ISOLATION WARD AT BASE HOSPITAL DELHI CANTT-10/ 3004/Q/22/E3 / 2020_MES_354680_1",E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE WC and CE DELHI ZONE-MES||CWE NEW DELHI-MES||GE E/M BASE HOSPITAL DELHI CNATT-MES,Delhi,Works,Covid ward,512532,"RUCHIKA ENGG.WORKS,JIWAN DASS THAREJA AND SONS,PRAKASH ENTERPRISES,M.A Enterprises,g s enterprises,NEETU TRADERS (INDIA),Pall Associates,M/s M.K.S ENTERPRISES,Thapar Enterprises",9,,
18-Jul-2020 12:00 AM,20-Jun-2020 4:00 PM,Provn of COVID 19 related Infrastructure at MH at Bathinda Mil Station under GE (South) Bathinda/ CA NO CWE BTD 20 of 2020-21 / 2020_MES_346492_2,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE SWC AND CE BATHINDA ZONE - MES||CWE BATHINDA - MES,Bathinda,Works,Covid ward,1924368,M/s Kamal Builders,5,,
10-Jul-2020 12:00 AM,19-Jun-2020 2:00 PM,Provn of Med/Vet Medicine and Anti COVID-19 Items for Bn AOR/ 1462/Sadh/453 / 2020_IHQA_540700_1,IHQ of MoD (Army)||15 CORPS||E DIV,,Services,Covid Treatment,100000,Jalal Enterpirses,1,"surgical mask 3ply - 29
gloves - 25
N95 - 9500
PPE -1845
sodium hypochlorite - 150
sanitizer - 100/50ml
hand held thermal scanner- 5000
VTM - 198",
02-Jul-2020 12:00 AM,19-Jun-2020 1:00 PM,"PROVN OF ADDITION/ ALTERATION OF COVID WARD I AND II (CRISIS WARD I AND II), MED II (ROOM NO- 272) AND OFFRS WD (ROOM NO- 234) AT BUILDING NO P-01 AT MH JODHPUR./ 8639/E8 / 2020_MES_354065_1",E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CESC AND CE JODHPUR ZONE - MES||CWE(ARMY) JODHPUR - MES||GE SHIKARGARH - MES,Jodhpur,Works,Covid ward,1468978.7,Bhagwati Construction Company,8,,
30-Jun-2020 8:00 AM,19-Jun-2020 12:00 AM,PERSONAL PROTECTION EQUIPMENT (PPE) BODY COVERALL FOR COVID-19/ GEM/2020/B/680077 / 40916,Nuclear Power Corporation of India Limited,,Goods,Covid Prevention,38000,MODELAMA EXPORTS PVT LTD,1,,
01-Aug-2020 12:00 AM,18-Jun-2020 6:35 PM,SANITISATION TO PREVENT COVID19 VIRUS/ AAI/RHQ(NR)/HK/Sanitisation / 2020_AAI_50916_1,Airports Authority of India||Northern Region - AAI||RHQ-NR - AAI||GENERAL-NR - AAI,,Works,Covid Prevention,137940,"TRIVENI PEST CONTROL,m/s pest control services of india",3,,
07-Aug-2020 12:00 AM,17-Jun-2020 6:00 PM,Provn of COVID-19 related Infrastructure at 175 MH in Abohar Mil Stn/ GE ABH-13/20-21 / 2020_MES_348448_2,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE SWC AND CE BATHINDA ZONE - MES||CWE GANGANAGAR - MES||GE ABOHAR - MES,Bathinda,Works,Covid Allied,941800,M/s SHIVA BUILDERS,5,,
25-Jul-2020 12:00 AM,17-Jun-2020 6:00 PM,Provision of 02 x RO plants with allied works for COVID-19 patient facility at CH (NC) and 02 x Deep freezer at PARA (SF) under GE Utilities Udhampur/ GE/U-22/2020-21 / 2020_MES_353561_1,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE NC AND CE UDHAMPUR ZONE - MES||CWE UDHAMPUR - MES||GE (U) UDHAMPUR - MES,Udhampur,Works,Covid Allied,1243140,MOHAN LAL AND SONS,5,,
10-Aug-2020 12:00 AM,15-Jun-2020 9:20 AM,"PROVN OF MEDICAL GAS PIPELINE SYSTEM,OXYGEN SUPPLY AND VACUUM PIPE LINE SYSTEM AND BED HEAD PANELS AND COVID 19 ISOLATION WARD AT MH BHUJ (COVID 19)/ 8708/E8 / 2020_MES_352767_1",E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CESC AND CE JODHPUR ZONE - MES||CWE AHMEDABAD - MES||GE (ARMY)BHUJ - MES,Jodhpur,Works,Covid ward,4259146,M/S S. SINGH TRADERS,4,,
26-Jun-2020 12:00 AM,15-Jun-2020 12:00 AM,Area disinfection- COVID 19/ 20000016-HB-46009 / 348176,HINDUSTAN PETROLEUM CORPORATION LTD,,Works,Covid Prevention,2168000,SRI GAYATRI LOGISTICS AND SERVICES,6,Limited,
23-Jun-2020 12:00 AM,10-Jun-2020 5:00 PM,As per tender document/ 18/U/16/12/2/2020/COVID2019/MH / 2020_ESIC_564192_1,Employees State Insurance Corporation||ESIC Hospital-Indore M.P.||General Branch,Indore,Services,Covid Prevention,432234,RAJESH GAWDE,4,,
24-Jul-2020 12:00 AM,08-Jun-2020 12:00 AM,COVID ARRANGEMENTS/ 20000012-HA-12356 / 358723,HINDUSTAN PETROLEUM CORPORATION LTD,,Services,Covid Prevention,573656,C B MARKETING SERVICES,4,Limited,
30-Jun-2020 12:00 AM,04-Jun-2020 6:00 PM,PROVISION OF COVID-19 RELATED INFRASTRUCTURE IN MH AT MIL STN KOTA/ 8444/E8 / 2020_MES_349789_1,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE SWC AND CE JAIPUR JAIPUR - MES||CWE KOTA - MES||GE KOTA - MES,Jaipur,Works,Covid Prevention,399850,SINGH ENTERPRISES,3,,
30-Jul-2020 12:00 AM,04-Jun-2020 2:00 PM,"PROCUREMENT OF GEN CONSUMABLES ,COIVD 19/ DGLP/RFP-13COVID 20-21 / 2020_ARMY_349698_2",IHQ of MoD (Army)-(OSCC)||AREA HQ-IHQ of MoD (Army)-(OSCC)||DELHI AREA-AREA HQ-IHQ of MoD (Army)-(OSCC)||BASE HOSPITAL-IHQ OF MOD(Army),Delhi,Goods,Covid Treatment,435428,"TRITON MEDICAL SERVICES PVT LTD, KRISHNA HEALTHCARE, New Surgical Company,M/S STANDARD TRADERS,",17,,
18-Jun-2020 3:18 AM,02-Jun-2020 3:56 PM,OPERATION OF 50 SEATER BUSES FOR BPCL KOCHI REFINERY PDPP CONTRACT EMPLOYEES DUE TO COVID 19/ 1000352786 / 73746,Bharat Petroleum Corporation Limited,Kochi,Works,Covid Prevention,476280,PRINCY TRAVELS,3,,
22-Jun-2020 12:00 AM,30-May-2020 9:00 AM,"PROVN AND ADDN/ ALTN TO TEMPERATURE, HUMIDITY AND DIFFERENTIAL PRESSURE MONITORING INFRASTRUCTURE FOR COVID-19 AT OT NO 7 AND 8 AT BASE HOSPITAL UNDER GE E/M BHDC-10/ 3004/Q/19/E3 / 2020_MES_348419_1",E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE WC and CE DELHI ZONE-MES||CWE NEW DELHI-MES||GE E/M BASE HOSPITAL DELHI CNATT-MES,Delhi,Works,Covid ward,161800,"Saini Enterprises,DP Traders,J.P. Enterprises,Shiv Enterprises,N.K. Enterprises,V S ENTERPRISES,D P ENTERPRISES",7,,
22-Jun-2020 12:00 AM,29-May-2020 6:55 PM,ADDN ALTN AND RENOVATION OF BLDG NO P01 AND P02 FOR COVID WARD AT MH JAIPUR UNDER ZONEII AREA AT JAIPUR STN/ GE/J-08/2020 / 2020_MES_348406_1,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE SWC AND CE JAIPUR JAIPUR - MES||CWE JAIPUR - MES||GE JAIPUR - MES,Jaipur,Works,Covid ward,5879982,Lakshmi Enterprises,6,,
16-Sep-2020 12:00 AM,28-May-2020 1:40 PM,Proc of office contingency and protective gear covid -19 items/ 300402/E-Qtn/03/E3 dt 27 May 2020 / 2020_ARMY_347957_1,IHQ of MoD (Army)-(OSCC)||Southern Comd-IHQ of MoD (Army)-(OSCC)||ENGR BR-Southern Comd-IHQ of MoD (Army)-(OSCC),,Goods,Covid Prevention,175655,"K SONS,Kabra Traders,",4,,
11-Jun-2020 12:00 AM,28-May-2020 12:00 AM,SUPPLY OF ITEM FOR COVID -19/ 20000025-HB-12351 / 344059,HINDUSTAN PETROLEUM CORPORATION LTD,,Goods,Covid Treatment,174000,VAIBHAVI ENTERPRISES,3,Limited,
15-Jun-2020 12:00 AM,27-May-2020 5:00 PM,Outsourcing clinical trials related to COVID-19/ 12(288)/2020-P / 2020_CSIR_49102_1,Council of Scientific and Industrial Research||IIIM-Jammu - CSIR||Purchase-IIIM - CSIR,Jammu,Services,Covid Treatment,75945589,"Cadila Pharmaceuticals Limited,Ardent Clinical Research Services",5,,
23-Jul-2020 12:00 AM,27-May-2020 12:00 AM,FOOD PACKET DISTRIB- COVID 19/ 20000007-HA-12358 / 356483,HINDUSTAN PETROLEUM CORPORATION LTD,,Services,Covid diet,1494550,SHIV KUMAR ENTERPRISES,1,Limited,
05-Jun-2020 12:00 AM,27-May-2020 12:00 AM,SUPPLY COVID-19 MITIGATION CON/ 20000030-HB-12354 / 342966,HINDUSTAN PETROLEUM CORPORATION LTD,,Goods,Covid Prevention,197328,SAKSHI ENTERPRISES,3,Limited,
14-Jul-2020 12:00 AM,26-May-2020 12:00 AM,COVID-19: Sanitization Activit/ 20000007-HB-12756 / 373764,HINDUSTAN PETROLEUM CORPORATION LTD,,Services,Covid Prevention,553800,V.ASHOKAN,1,Limited,
06-Jul-2020 12:00 AM,25-May-2020 2:30 PM,OUTSOURCING OF QUARANTINE FACILITY/ 438/COVID-19 / 2020_NAVY_347264_1,IHQ of MOD (Navy)||WESTERN NAVAL COMMAND - NAVY||HQ GD and D - NAVY||NOIC (GJ) - NAVY||INS SARDAR PATEL - NAVY,,Services,Covid Prevention,2741104,"SHUKLA ENTERPRISE,VIJAYRAJ ENTERPRISE",3,,
03-Jul-2020 12:00 AM,25-May-2020 12:00 PM,Limited tender enquiry for procurement of 8 types of Protective Equipments for COVID-19 on 3Three months rate contract basis for Centenary Hospital -Port Hospital Kolkata and Port Hospital Haldia of KOLKATA PORT TRUST./ MED/PR/LMT/321/COVID/20-21/138 / 2020_KoPT_558885_1,Kolkata Port Trust||Kolkata Dock System - KoPT||Medical - KDS||O/o Chief Medical Officer - KDS,Kolkata,Goods,Covid PRevention,10957054,"SCIENCE AND SURGICAL,Prime Marketing,VENTONA HEALTHTECH PRIVATE LIMITED,VIZITIVITY ENTERPRISE",6,"133 for 500 ml of sanit
mask - 4.99 (VGR food tech agro)
industrial hand gloves - 48
shoe cover - 19
n95 - 98
sanit -5 lt -837
nitrile gloves - 8.9
disposable cap - 2
sanit - 500ml - 119",
21-Jul-2020 12:00 AM,25-May-2020 9:00 AM,Limited tender enquiry for procurement of 3 types of Personnel Protective Equipments for COVID-19 on 3 Three months rate contract basis for Centenary Hospital Port Hospital Kolkata and Port Hospital Haldia of KOLKATA PORT TRUST./ MED/LMT/323/COVID-19/20-21/161 / 2020_KoPT_560445_1,Kolkata Port Trust||Kolkata Dock System - KoPT||Medical - KDS||O/o Chief Medical Officer - KDS,Kolkata,Goods,Covid Prevention,3366980,"HELIOS MEDICAL SYSTEMS,SCIENCE AND SURGICAL,Prime Marketing,VENTONA HEALTHTECH PRIVATE LIMITED",5,"disposable gown - 222
full ppe kit -394
surgical gown - 98",
27-Jun-2020 12:00 AM,23-May-2020 3:30 PM,"PROVN OF SPLIT ACS, VOLTAGE STABILIZER, AIR CURTAINS AND OXYGEN GAS PIPE LINES ALONGWITH CONNECTED ACCESSORIES FOR COVID-19 RELATED INFRASTRUCTURE AT MH SURATGARH MIL STN UNDER GE (ARMY) SURATGARH/ GE (A) SOG - 13/20-21 / 2020_MES_347202_1",E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE SWC AND CE BATHINDA ZONE - MES||CWE BIKANER - MES||GE (ARMY) SURATGARH - MES,Bikaner,Works,Covid Allied,2553965,Singla Electricals,3,,
17-Sep-2020 12:00 AM,23-May-2020 9:00 AM,Fumigation with Sodium Hypochlorite for COVID 19 in MUMBAI PORT TRUST Estate for a Period of Three Months/ CE.T.48/2020 Fumigation / 2020_MBPT_560622_1,Mumbai Port Trust||Civil Engineering - MBPT,,Services,Covid Prevention,2015726.1,CREATIVE CONSTRUCTIONS,7,,
29-Jun-2020 12:00 AM,23-May-2020 12:00 AM,FOOD PACKET DISTRIB- COVID 19/ 20000009-HB-12603 / 350246,HINDUSTAN PETROLEUM CORPORATION LTD,,Services,Covid Diet,400000,UTISHTHA ENTERPRISES,2,Limited,
01-Jul-2020 12:00 AM,22-May-2020 3:00 PM,PROVN OF SUMMER APPLIANCES AND ALLIED WORKS FOR COVID 19 INFRASTRUCTURE AT MH AT BATHINDA MIL STN UNDER GE (UTILITY) BATHINDA/ CA NO CWE BTD 21 of 2020-21 / 2020_MES_346805_1,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE SWC AND CE BATHINDA ZONE - MES||CWE BATHINDA - MES,Bathinda,Works,Covid Allied,1119205,Aman Enterprises,3,,
06-Aug-2020 12:00 AM,22-May-2020 1:10 PM,Processing of Protective Personal Equipment (PPE) Kit for COVID -19 pandemic/ NEIGR/SP/OT/E -02A/2020 -21 / 2020_NES_560619_1,"Department of Health, North East Section,MHFW||NEIGRIHMS, Shillong,MHFW,NES||Store and Procurement Section,HQ NEIGRIHMS,MHFW",Shillong,Goods,Covid Prevention,3828825,Biosis Medical Services,31,450 - PPE,
29-Jul-2020 12:00 AM,21-May-2020 6:00 PM,"Upgradation of Indoor Air Quality for safe operation of Central Air-Conditioning System during Spread of COVID-19 at Rajiv Gandhi Bhawan, Safdarjung Airport, Delhi/ AAI/IMU/AGME(E)ENIT01/2020-21 / 2020_AAI_48597_1",Airports Authority of India||CHQ - AAI||Engineering Electrical - AAI,,Works,,12021359,SNOWMEX ENGINEERS LIMITED,8,,
14-Jul-2020 12:00 AM,21-May-2020 6:00 PM,PROV OF HUMANITARIAN ASSISTANCE AND DISASTER RELIEF AND MOBILE TECHNICAL SUPPORT PLATOON STORAGE FACILITY FOR MEDICAL STORES BEHIND LOGISTICS COMPLEX AS AND AS TO PATHALOGY DEPT FOR CREATION BSL2 MOLECULAR BIOLOGY LAB FOR COVID19 TESTING WITH ASSOCI/ GE(NB)/VIZ/TOKEN 88 OF 2019-2020 / 2020_MES_346597_1,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE EC AND CE (NAVY) VIZAG - MES||CWE VISAKHAPATNAM - MES||GE NAVAL BASE VISAKHAPATNAM - MES,Vizag,Works,Covid ward,3980019.59,N Sydeswara Rao,1,,
22-Sep-2020 12:00 AM,19-May-2020 3:00 PM,PROVN OF MEDICAL GAS SYSTEM AND ALLIED WORKS FOR COVID 19 INFRASTRUCTURE AT MH AT BATHINDA MIL STN UNDER GE (UTILITY) BATHINDA/ CA NO CWE BTD 19 of 2020-21 / 2020_MES_345919_1,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE SWC AND CE BATHINDA ZONE - MES||CWE BATHINDA - MES,Bathinda,Works,Covid ward,3625676.5,FIBRE SHAKTI INDUSTRIES PVT LTD,7,,
09-Jun-2020 12:00 AM,18-May-2020 12:00 AM,PPE FOR COVID 19 FIGHT/ 20000007-HB-14957 / 343290,HINDUSTAN PETROLEUM CORPORATION LTD,,Goods,Covid Prevention,188275,SARVAM SAFETY EQUIPMENTS (P) LTD,9,,
03-Jun-2020 12:00 AM,15-May-2020 5:00 PM,"PROVISION OF PORTA CABINS FOR DOFFING AREA (6M X 5M) AND DONNING AREA (4M X 3M) AT BLDG NO T-4A,T-7,T-8,T-15 FOR ACUTE CARE COVID-19 ISOLATION WARDS AT BASE HOSPITAL UNDER GE (E/M) BASE HOSPITAL DELHI CANTT-10 / GE/BH-20/2020-21 / 2020_MES_345106_1",E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE WC and CE DELHI ZONE-MES||CWE NEW DELHI-MES||GE E/M BASE HOSPITAL DELHI CNATT-MES,Delhi,Works,Covid ward,4737138.95,"R K Enterprises,Ashish Sehgal and Co.",8,,
12-Jun-2020 12:00 AM,15-May-2020 12:00 AM,"PPE,SANITATION and FOOD-COVID-19/ 20000011-HB-12604 / 344050",HINDUSTAN PETROLEUM CORPORATION LTD,,Goods,Covid Prevention,99500,SRI SAI SUBRAHMANYESWARA ENTERPRIESES,3,,
29-May-2020 12:00 AM,14-May-2020 12:00 AM,LUCH FOR DRIVER DURING COVID19/ 20000017-HB-12531 / 341224,HINDUSTAN PETROLEUM CORPORATION LTD,,Goods/Services,Covid Prevention,1275000,SHREE YESH CONSTRUCTION,3,Limited,
04-Jun-2020 12:00 AM,13-May-2020 5:00 PM,"PROVN OF STAND BY DG SET 200 KVA ALONGWITH CONNECTED ITEMS AT BLDG NO T-3, T-4A, T-7 AND T-8 FOR ACUTE CARE COVID-19 ISOLATION WARDS AT BASE HOSPITAL DELHI CANTT-10/ GE/BH-18/2020-21 / 2020_MES_344491_1",E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE WC and CE DELHI ZONE-MES||CWE NEW DELHI-MES||GE E/M BASE HOSPITAL DELHI CNATT-MES,Delhi,Works,Covid ward,2899510,Saini Enterprises,8,,
04-Jun-2020 12:00 AM,13-May-2020 3:00 PM,"PROVN OF MEDICAL GAS PIPE LINE NETWORK, VALVES AND OTHER CONNECTED ITEMS AT BLDG NO. T-9, T-10, T- 15, T-17, T-18, T-19 AND P-4A FOR ACUTE CARE COVID-19 ISOLATION WARDS AT BASE HOSPITAL DELHI CANTT/ GE/BH-16/2020-21 / 2020_MES_344158_1",E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE WC and CE DELHI ZONE-MES||CWE NEW DELHI-MES||GE E/M BASE HOSPITAL DELHI CNATT-MES,Delhi,Works,Covid ward,,,,,
04-Jun-2020 12:00 AM,13-May-2020 3:00 PM,"PROVN OF ADDN /ALTN TO ELECTRIC SUPPLY NETWORK INCL POINT WIRING, SWITCH SOCKET, EXHAUST FAN, ELECTRO MEDICAL MONITOR STANDS AND OTHER MISC CONNECTED ITEMS AT BLDG NO. T- 9, T-10, T-15, T-17, T-18, T-19 AND P-4A FOR ACUTE CARE COVID-19 ISOLATION WAR/ GE/BH-17/2020-21 / 2020_MES_344331_1",E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE WC and CE DELHI ZONE-MES||CWE NEW DELHI-MES||GE E/M BASE HOSPITAL DELHI CNATT-MES,Delhi,Works,Covid ward,2814215,JYOTI CONTRACTORS AND TRADERS,8,,
14-Jul-2020 12:00 AM,12-May-2020 2:00 PM,PROVN OF MEDICINAL GAS SUPPLY SYSTEM FOR NEWLY CREATED COVID-19 WARD AT MH SECUNDERABAD UNDER GE UTILITY SECUNDERABAD/ GE(U)/SEC/TOKEN/07 OF 2020-21 / 2020_MES_344156_1,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE SC AND CE CHENNAI ZONE - MES||CWE SECUNDERABAD - MES||GE(UTILITY) SECUNDERABAD - MES,Chennai,Works,Covid ward,3535694,RUCHIKA ENGG.WORKS,8,,
