S.No.,AOC Date,e-Published Date,Title and Ref.No./Tender Id,State Name,Type of work,,What is it,Number of bids,Amount,Bid winner,Org name,Tender ref number,Tender description,Tender type,number of bids received,name of bidder,address of bidder,contract value,tender published date
67,24-Nov-2020 12:00 AM,15-Sep-2020 5:00 PM,Tender for Rate contract for procurement of Plastic consumables for COVID-19 testing labs in Punjab/ BFUHS/478/2020 / 2020_DMER_53492_1,Punjab,Goods,,Covid Detection,4,43977.37,"OCEAN SCIENTIFIC STORE,Kohli Distributors,GLOBAL SALES CORPORATION,EZILT LIFESCIENCES","Single pcr plate-161 and lid for plate - 156, gloves - 5.60, crypboxes - 658",,,,,,,,
68,12-Oct-2020 12:00 AM,14-Sep-2020 6:55 PM,E-tender for Procurement of RT PCR Single Step Test Kits for management of COVID-19 for a period of 3 months from the date of AOC/ WBHF/HST/COVID/RTPCR/20-21/097 / 2020_HFW_296309_1,West Bengal,Goods,,Covid Detection,18,29948800,"P. BHOGILAL PVT. LTD.,ADVY CHEMICAL PVT. LTD.,PASCHIM BANGA PHARMACEUTICAL A UNIT OF FARISTA VANIJYA PVT LTD,HALDER MEDICAL AGENCY,Meril Diagnostics Pvt Ltd,Edif Medical Systems,Imperial Life Sciences Pvt Ltd,ALLIED PHARMA,Loften India Private Limited,ADT India Private Limited",Rate per kit - 52.26 rs number of kits - 5 lakh,,,,,,,,
69,04-Nov-2020 12:00 AM,14-Sep-2020 12:10 PM,"AS A PREVENTIVE MEASURE COVID-19, TO SET CONTAINMENT ZONES WOODEN BARACETING, CGI SHEET PARTITION, CHAIR,TABLE ETC PROVIDED AT THE PLACE WHERE THE POSITIVE PATIENTS FOUND./ 07/2020-21 / 2020_DMA_609691_1",Maharashtra,Services,,Covid Prevention,4,163,"Jawahar Speakers and Mandap Contractor ,M/S. KAWADE CONSTRUCTION PROP. KAWADE RAHUL BHAGWANRAO,Diptish Diliprao Sagar,ABHAY DAGDU KALE",,,,,,,,,
70,17-Nov-2020 12:00 AM,10-Sep-2020 4:00 PM,Online Rate Contract Tender for Supply of COVID-19 Column-based Viral RNA Extraction kit for Various Hospitals of Government of Madhya Pradesh for a Period of 6 months/ T-096/ MPPHSCL/ COVID-19 Column-based Viral RNA Ex / 2020_PHSCL_106443_1,Madhya Pradesh,Goods,,Covid Detection,9,22232000,Imperial Life Sciences Pvt Ltd,2000 kits at 11116 /kit,,,,,,,,
71,10-Dec-2020 12:00 AM,09-Sep-2020 11:00 AM,Tender for rate contract for procurement of one step RT PCR Kits for COVID Lab in Punjab/ BFUHS/477/2020 / 2020_DMER_53139_1,Punjab,Goods,,Covid Detection,7,42000000,Imperial Life Sciences Pvt Ltd,"Rate per reaction - 140 rs (100 reactions per kit - 140,00) and total for 3 lakh reactions - 42000000",,,,,,,,
72,25-Nov-2020 12:00 AM,09-Sep-2020 11:00 AM,Essential COVID Drugs/ COVID_DRUGS_145501_23_P / 2020_NHM_18634_1,Assam,Goods,,Covid Treatment,7,28596250,"Hab Pharmaceuticals &ampamp Research Ltd,ABBOTT INDIA LIMITED,Vivek Pharmachem (India) Ltd.,,OM BIOMEDIC PVT. LTD.,Pfizer Limited,Zuventus Healthcare Limited","Enoxaparin-141/1amp, ivermectin - 2.52 per tabler,hydrocortisone - 11.6 /vial",,,,,,,,
73,23-Nov-2020 12:00 AM,08-Sep-2020 5:00 PM,CONSTRUCTION OF ROAD FOR TATA COVID HOSPITAL AT CHATTANCHAL IN KASARAGOD DISTRICT/ D2-TD/8/E-tender/2020-21 / 2020_PWD_383574_1,Kerala,Works,,Covid Road,4,18064275.3,C H MOIDEEN KUNHI,,,,,,,,,
74,10-Dec-2020 12:00 AM,07-Sep-2020 5:00 PM,"Renovation works for requirement of separate SARI Ward for COVID suspected patients and new toilet at newly shifted Physiotherapy Room in Vidyasagar SGH, Behala, Kolkata _ 34 during the year 2020_21_Building and S and P works/ WBPWD/KSHD/EE/NIT-28 OF 2020-2021 / 2020_WBPWD_295410_2",West Bengal,Works,,Covid Ward,8,387834,ANJAN DAS GUPTA,,,,,,,,,
75,29-Dec-2020 12:00 AM,05-Sep-2020 5:00 PM,"Repair and petty maintenance COVID Ward, Roof Doors, one aluminium door at NTH-II building of AGMC and GBP Hospital/ 12/EE/MCD/PWD(R and B)/2020-21 / 2020_CEPWD_12512_1",Tripura,Works,,Covid Ward,1,84869.06,NANDAN BHATTACHARJEE,,,,,,,,,
76,23-Sep-2020 12:00 AM,05-Sep-2020 10:00 AM,Supplying Alloy Steel Oxygen Gas D Type Jumbo Cylinder at Various&amp;#x0d; Hospital in Kolhapur District/ 50 for 2020-21 (OPEN) (B1) (COVID-19) / 2020_PWDRP_608013_1,Maharashtra,Works,,Covid Treatment,4,8691300,G.S. Enterprises,For 50?,,,,,,,,
77,05-Nov-2020 12:00 AM,04-Sep-2020 6:30 PM,ONLINE TENDER FOR for OUTSOURCING OF COVID19 Testing Services (Through RT PCR) by ICMR and NABL approved Labs along with BSL2 Compliance for GoMP for a period of 03 months/ T-093/MPPHSCL/Outsourcing of COVID-19 testing Serv / 2020_PHSCL_105353_1,Madhya Pradesh,Services,,Covid Testing,7,2700,"Krsnaa Diagnostics Private Limited,Supratech Micropath LaboratBory and Research Institute,GeneXplore Diagnostics and Research Centre Pvt. Ltd.",900 rs / test,,,,,,,,
78,29-Sep-2020 12:00 AM,04-Sep-2020 6:30 PM,"Electrical Installation Work at Chhatna SSH, Bankura.___Supply and Installation of A.C. machine in various location of chhatna SSH, COVID-19 HOSPITAL,Bankura./ WBPWDTE/EE/BED/NIQ_39/Q of 2020-21 / 2020_WBPWD_295084_1",West Bengal,Works,,Covid Ward,4,2248602,NAYEE DISHA PROJECTS,,,,,,,,,
79,23-Sep-2020 12:00 AM,04-Sep-2020 10:00 AM,"Providing Tea, Breakfast and Meal to Covid Care Centres at Nagpur/ 11-2019/EE(P) / 2020_NMCN_607707_1",Maharashtra,Services,,Covid Diet,8,6115980,"Dahikar Caterers and Services,black diamond restuarant and caterers,Priyadarshani Bahuddeshiya Seva Sahakari Sanstha Nagpur,Siddhi Enterprises,Vaishnavi Bahuudesiya Shikshan Sanstha,SUSANSKAR BAHUOODESHIYA SHIKHSHAN SANTHA,The Spoon Cafe And Family Garden Restaurent,Hotel Heritage 2001",,,,,,,,,
80,23-Sep-2020 12:00 AM,04-Sep-2020 10:00 AM,S.I.T.C of 62.5 KVA Back Up Power at Sree Balaram Seva Mandir S.G Hospital (COVID HOSPITAL) at khardah/ WBPWD/SE/SEC/NIT-114/2020-2021 / 2020_WBPWD_295021_1,West Bengal,Works,,Covid Ward,3,787350,M/S T AND D ENGINEERING WORKS,,,,,,,,,
81,21-Sep-2020 12:00 AM,03-Sep-2020 4:00 PM,Tender for procurement of Injection Remdesivir 100mg/ F.43/CPC/COVID/MED/DHS/2020-21 / 2020_HF_12476_1,Tripura,Goods,,Covid Treatment,2,1499500,Dr.Reddys Laboratories Ltd,Injection 100mg lyo power - 3358,,,,,,,,
82,26-Sep-2020 12:00 AM,02-Sep-2020 6:30 PM,SH Making arrangement for sanitized the Main Court Complex preventive measures for Corona Virus COVID 19 in Karkardooma Court Complex Delhi. PF contactless dispenser supply of face shield and alcohole based sanitizer liquid./ 24/EE/KKD Court Divn./PWD/NIT/2020-21 / 2020_PWD_194161_1,NCT of Delhi,Goods,,Covid Prevention,4,2452000,CSM CONSTRUCTION,,,,,,,,,
83,10-Sep-2020 12:00 AM,01-Sep-2020 4:40 PM,A R and M O to Rouse Avenue Court Complex at DDU Marg New Delhi During 2020-21 SH Preparation for Prevention from COVID-19/ 06/EE/OPD-1/PWD/2020-21 / 2020_PWD_194106_1,NCT of Delhi,Works,,Covid Prevention,4,2129959,"M/S BANSAL BUILDERS,UPENDRA SINGH,Vinod Bhardwaj,M/s Manomay",,,,,,,,,
84,30-Oct-2020 12:00 AM,31-Aug-2020 10:00 AM,"Est No.133233 / 2020-21 &amp;#x0d; Prov. E. I. in Staff Qrts -4 Nos and Street light at PHC for COVID-19 at Venegaon, Dist.Satara./ eTender Notice No.22 of 2020.21 / 2020_PWDM_606770_2",Maharashtra,Works,,Covid Allied work,3,565726,Nikam Electricals,,,,,,,,,
85,13-Oct-2020 12:00 AM,31-Aug-2020 10:00 AM,"Est.No.133231 / 2020-21 &amp;#x0d; Prov. Street light and Highmast in the Premises of PHC for COVID-19 at Tathawada, Dist. Satara&amp;#x0d;/ eTender Notice No.22 of 2020.21 / 2020_PWDM_606770_3",Maharashtra,Works,,Covid Allied Work,3,631191,M/s Vijayalaxmi Engineers &ampamp Contractors,,,,,,,,,
,25-Jan-2021 12:00 AM,29-Aug-2020 10:00 AM,"Supply OF Medicine ,Kits And Consumables etc. For Covid - 19 in Civil Hospital Jalna/ JALNA/CS/ET/DH/28/2020-21 / 2020_DHS_606571_1",Maharashtra,Goods,,Covid Treatment,11,3019680,"girish medicose,Snehal Pharma And Surgicals Pvt. Ltd.,VISHAL ENTERPRISE,Mandar Pharma,jaya enterprises,BioResource Biotech Pvt. Ltd.,Chandak Medical Stores,SHREE ORTHO TOOLS,K K DRUGS,SHRI BALAJI AGENCIES,SAFFRON NATURELE PRODUCTS PVT. LTD.","Prednisalone-129/1 for 1000, Dexamethasone-2.8/1 for 10000
insulin syringe - 2.27/1 for 20,000
heparin - 153- 173/1, 10000
insulin lantus 2350/1unit",,,,,,,,
86,19-Jan-2021 12:00 AM,29-Aug-2020 9:00 AM,"Procurement of Mortuary Van to prepare 10 District Hospitals (Tawang, Bomdila, Ziro, Aalo, Tezu, Namsai, Changlang, Khonsa, Seppa, and Yingkiong) to fight COVID-19 under NESIDS/ COVID-19/MDEV-43/2020/P-IV / 2020_DHS_333_1",Arunachal Pradesh,Goods,,Covid Body Removal,2,19000000,M/s.Tollo Kadung MPCS Ltd,10 vans - 19 laks each,,,,,,,,
87,19-Jan-2021 12:00 AM,29-Aug-2020 9:00 AM,"Procurement of Hospital Equipments to Prepare 10 District Hospitals (Tawang, Bomdila, Ziro, Aalo, Tezu, Namsai, Changlang, Khonsa, Seppa, Yingkiong) to Fight COVID-19 under NESIDS./ COVID-19/MDEV-43/2020/P-I / 2020_DHS_331_1",Arunachal Pradesh,Goods,,Covid Treatment,3,216298200,M/S POPU ENTERPRISES,"20 units of ECG-220000 for 1
10 units for cardiac monitor with defibrillator - 370000 for 1
Nebuliser 20 units for 3400 for 1
Elisa readerand washer - 490000 for 1 - 10 units",,,,,,,,
88,19-Jan-2021 12:00 AM,29-Aug-2020 9:00 AM,"Procurement, installation and commissioning of 2 number of 128 Slice CT Scan unit (For Tawang and Namsai) and 1.5 Tesla MRI unit at TRIHMS COVID Hospital and imaging equipment for 10 district hospitals on turnkey basis to fight COVID-19 under NESIDS/ COVID-19/MDEV-43/2020/P-II / 2020_DHS_332_1",Arunachal Pradesh,Goods,,Covid Treatment,3,165036900,M/S POPU ENTERPRISES,"CT Scan - 2 - 71329780 for 1
US with four scopes - 7 -1912960
Single load CR system - 1490720 for 1 and 6 were bought",,,,,,,,
89,18-Sep-2020 12:00 AM,28-Aug-2020 6:35 PM,A A to Karkardooma Court Complex Delhi dg. 2020 21. Making arrangement for sanitized the Main Court Complex preventive measures for Corona Virus Covid 19 in Karkardooma Court Complex Delhi./ 23/EE/KKD Court Divn./PWD/NIT/2020-21 / 2020_PWD_194012_1,NCT of Delhi,Works,,Covid Prevention,8,989082,Yugenterprises,,,,,,,,,
90,10-Nov-2020 12:00 AM,28-Aug-2020 5:30 PM,"Sanitization / Disinfection treatment to be carried out to control and minimize microbial pathogens ( in the Perspective of Covid -19) at Vallabh Bhawan - I , II, III Bhopal/ 146/Tendercell/2020-21 / 2020_CPA_103406_1",Madhya Pradesh,Works,,Covid Prevention,3,3999961,ENVIRO TECH,,,,,,,,,
91,08-Oct-2020 12:00 AM,27-Aug-2020 6:05 PM,Const of Building for oxygen compressor and case paper room and Providing and fixing railing in front of Case Paper room for Covid-19 Hospital in S.No.240(P) 241(P) New Hospital Ground Floor in Nashik Road Div./ NMC/PWD/06/2020-21 / 2020_NMC_606301_2,Maharashtra,Works,,Covid Treatment,4,620630,SWARAJ SUDHAKAR TAJANPURE,,,,,,,,,
92,22-Oct-2020 12:00 AM,27-Aug-2020 6:05 PM,"Const. of foundation for liquid oxygen tank at Dr. Zakir Husen Hospital, Dr.Vasantrao Pawar Medical Collage and New Hospital S. No. 240(P) 241(P) in Nashik Road Div For COVID-19./ NMC/PWD/06/2020-21 / 2020_NMC_606301_1",Maharashtra,Works,,Covid Treatment,11,4477755,M. K. CONSTRUCTION,,,,,,,,,
93,12-Oct-2020 12:00 AM,27-Aug-2020 2:00 PM,E TENDER FOR PROCUREMENT OF RAPID ANTIGEN TEST KIT FOR THE DETECTION OF COVID-19 FOR THE STATE FOR A PERIOD OF 2 MONTHS FROM THE DATE OF AOC/ WBHF/CMS/HST/COVID/RAT/096 / 2020_HFW_294372_1,West Bengal,Goods,,Covid Detection,3,229600000,"SD Biosensor Healthcare Pvt. Ltd,Mylab Discovery Solutions Private Limited","2,50,000 kits at 459 kits",,,,,,,,
94,13-Oct-2020 12:00 AM,27-Aug-2020 10:00 AM,Est No.133232 of 2020-2021 Providing E I in Staff Quarter- 4 nos and street light at PHC for COVID-19 at Kshetra Mahuli Tal. Dist. Satara./ eTender Notice No.20 of 2020.21 / 2020_PWDM_605995_2,Maharashtra,Works,,Covid Allied Work,3,581050,M/S SAIDATTA ELECTRICAL WORKS,,,,,,,,,
95,13-Oct-2020 12:00 AM,27-Aug-2020 10:00 AM,"Estimate No. 132030 of 2020-2021 - Providing additional Transformer for Phase II of R.H. at Kashil, Tal and Dist. Satara. (FOR COVID 19)/ eTender Notice No.20 of 2020.21 / 2020_PWDM_605995_1",Maharashtra,Works,,Covid Allied Work,3,599393,Bright Electricals,,,,,,,,,
96,04-Sep-2020 12:00 AM,22-Aug-2020 3:45 PM,Food Supply Services in Covid Facility/ DHS/Covid/Food/20-21 / 2020_DGMH_504207_1,Uttar Pradesh,Services,,Covid Diet,6,3000000,Nirmal Vatika Bhojnalya,,,,,,,,,
97,11-Nov-2020 12:00 AM,21-Aug-2020 5:00 PM,E Tender for Providing and Installing CCTV at SRT Medical College Isolation Ward Ambajogai Tq. Ambajogai Dist Beed/ 07/CS/CCTV/Covid-19/2020-21 / 2020_DHS_605072_1,Maharashtra,Services,,Covid allied Work,6,2390135.71,Recon power corpration,,,,,,,,,
98,11-Nov-2020 12:00 AM,21-Aug-2020 5:00 PM,E Tender for Providing and Installing CCTV at Sub District Hospital Parli Vaijnath Tq. Parli Vaijnath Dist Beed/ 06/CS/CCTV/Covid-19/2020-21 / 2020_DHS_605063_1,Maharashtra,Services,,Covid allied Work,5,2366471,Recon power corpration,,,,,,,,,
99,11-Nov-2020 12:00 AM,21-Aug-2020 5:00 PM,E Tender for Providing and Installing CCTV at Sub District Hospital Georai Tq. Georai Dist Beed/ 05/CS/CCTV/Covid-19/2020-21 / 2020_DHS_605057_1,Maharashtra,Services,,Covid allied Work,5,2281007.3,Recon power corpration,,,,,,,,,
100,11-Nov-2020 12:00 AM,21-Aug-2020 5:00 PM,E Tender for Providing and Installing CCTV at Sub District Hospital Kaij Tq. Kaij Dist Beed/ 04/CS/CCTV/Covid-19/2020-21 / 2020_DHS_605046_1,Maharashtra,Services,,Covid allied Work,6,2554951.49,Recon power corpration,,,,,,,,,
101,11-Nov-2020 12:00 AM,21-Aug-2020 5:00 PM,E Tender for Providing and Installing CCTV at Trauma Care Unit Telgaon,Maharashtra,Services,,Covid allied Work,6,1017567,Recon power corpration,,,,,,,,,
102,30-Oct-2020 12:00 AM,21-Aug-2020 11:45 AM,"Est.No.231411 / 2020-21Prov. Renovation to E. I. of Dialysis ward and Proposed Isolation ward for COVID-19 at Govt. Civil Hospital at Satara, Dist. Satara/ eTender No.19 of 2020.21 / 2020_PWDM_604902_8",Maharashtra,Works,,Covid Ward,3,341160,Nikam Electricals,,,,,,,,,
103,13-Oct-2020 12:00 AM,21-Aug-2020 11:40 AM,"Est.No.133213 / 2020-21 Prov.22 KV / 100KVA DTC to Primary Health Center for COVID-19 at Vaduth, Dist. Satara/ eTender No.19 of 2020.21 / 2020_PWDM_604902_7",Maharashtra,Works,,Covid Ward,3,1269808,M/S SAIDATTA ELECTRICAL WORKS,,,,,,,,,
104,13-Oct-2020 12:00 AM,21-Aug-2020 11:40 AM,"Est.No.133219 / 2020-21 Prov.11 KV / 100KVA DTC to Primary Health Center for COVID-19 at Anganpur Vandan, Dist. Satara/ eTender No.19 of 2020.21 / 2020_PWDM_604902_6",Maharashtra,Works,,Covid Ward,3,836563,M/S SAIDATTA ELECTRICAL WORKS,,,,,,,,,
105,25-Dec-2020 12:00 AM,21-Aug-2020 11:00 AM,Covid- 19 RT-PCR KIT/ CSNAGPUR / RTPCR /E-Tender /20-21 / 2020_DHS_604913_1,Maharashtra,Goods,,Covid Detection,20,162,Imperial Life Sciences Pvt Ltd,,,,,,,,,
106,02-Oct-2020 12:00 AM,20-Aug-2020 12:35 PM,Medicine and Consumables For COVID-19/ E-5/CSJ/MS/Medicine and Consumables/2020-21 / 2020_DHS_604578_1,Maharashtra,Goods,,Covid Treatment,17,12500000,"girish medicose,M/S KABRA MEDICALS,jaya enterprises,Delpha Drugs and Pharmaceuticals India,SAFFRON NATURELE PRODUCTS PVT. LTD.","Remdesivir -3388
Dexamethason - 2.94
Favipiravir -24.58
mgsulphate - 1.87
pipracillin - 63.5
prednisalon - 21.96
Heparin - 147
viral transport medium - 1650",,,,,,,,
107,17-Sep-2020 12:00 AM,19-Aug-2020 6:45 PM,"E.No.6073 of 2020-21 Prov. E.I. in doctors room, male ward and female ward first floor - D.C.H.Centre for COVID-19 purpose in the premise of sub-district hospital, Muktainagar, Tal. Muktainagar, Dist. Jalgaon./ PWDEE_32_2020-21 / 2020_PWDM_604559_3",Maharashtra,Works,,Covid HCW,2,529158,"milind electric works,New R K Electricals",,,,,,,,,
108,09-Oct-2020 12:00 AM,19-Aug-2020 11:00 AM,Tender for Supply and Installation of equipment (RTPCR) for COVID-19 testing labs in punjab/ BFUHS/476/2020 / 2020_DMER_52191_1,Punjab,Goods,,Covid Detection,6,14230800,BIO RAD LABORATORIES INDIA PRIVATE LIMITED,Rate per piece - CFX 96 RT -PCR - 1581200 and 9 pieces - 14230800,,,,,,,,
109,05-Feb-2021 12:00 AM,17-Aug-2020 5:45 PM,Operation and Management of COVID-19 DCHC/DCH Beds with Oxygen facility and ICU&amp;#x0d; Beds at various COVID centers established by Ambernath Municipal Council. &amp;#x0d;/ AMC/Health Dept./2020-21/163 / 2020_DMA_603303_2,Maharashtra,Services,,Covid Ward,2,543400,Magicdil Health for All Pvt Ltd,,,,,,,,,
110,08-Sep-2020 12:00 AM,17-Aug-2020 5:00 PM,Operation and Management of COVID-19 DCHC/DCH Beds with Oxygen facility and ICU&amp;#x0d; Beds at various COVID centers established by Ambernath Municipal Council. &amp;#x0d;/ AMC/Health Dept./2020-21/163 / 2020_DMA_603303_2,Chandigarh UT,Works,,Covid Ward,6,77760,"NEW K.C SALES &ampamp SERVICE,BATRA AUTO STORE,DARPAN GENERATORS SERVICE",,,,,,,,,
111,22-Oct-2020 12:00 AM,14-Aug-2020 3:00 PM,Online Rate Contract Tender for Supply of COVID-19 Test Kits for Various Hospitals of Government of Madhya Pradesh for a Period of 6 months&amp;#x0d;/ T-090/ MPPHSCL/ COVID-19 Test Kits/ RC/2020 / 2020_PHSCL_101824_1,Madhya Pradesh,Goods,,Covid Detection,2,137760000,"SD Biosensor Hrealthcare Pvt. Ltd.,BENNET PHARMACEUTICALS LIMITED",25 tests per kit and 1 kit costs 11480. 6750 tests bought,,,,,,,,
112,22-Nov-2020 12:00 AM,14-Aug-2020 2:00 PM,Supply of Dietary&amp;#x0d; Services under&amp;#x0d; COVID-19&amp;#x0d; Management in&amp;#x0d; Ambernath&amp;#x0d; Municipal Council./ AMC/Health Dept./2020-21/170 / 2020_DMA_603220_1,Maharashtra,Services,,Covid Diet,5,328,VISHNUAVTAR HOSPITALITY,328 for 1 days meal,,,,,,,,
113,01-Jan-2021 12:00 AM,14-Aug-2020 12:15 PM,"- RENOVATION WORK OF COVID CARE CENTRE AND&amp;#x0d; DEDICATED COVID HEALTH CENTRE ON R121, AMBERNATH W/ AMC/PWD/2020-21/90 / 2020_DMA_603081_1",Maharashtra,Works,,Covid Ward,3,3514841,M-DAC ENGINEERS,,,,,,,,,
114,26-Sep-2020 12:00 AM,14-Aug-2020 10:00 AM,Providing and fixing 20 KL Oxygen tank for Covid-19&amp;#x0d; treatment at Chhatrapati Pramilaraje Rugnalaya Kolhapur/ 44 for 2020-21 (OPEN) (B1) (COVID-19) / 2020_PWDRP_602964_1,Maharashtra,Works,,Covid Treatment,2,5265338,KOLHAPUR OXYGEN AND ACETYLENE PVT.LTD.,44 cylinders,,,,,,,,
115,01-Sep-2020 12:00 AM,13-Aug-2020 3:00 PM,Viitiya varsh 2020-21 me janpad pratapgarh me samay samay per covid-19 hetu hot spot kshetro me barricating ka karya/ 1279/19A/2020 Date 29-07-2020 / 2020_CEALD_501400_1,Uttar Pradesh,Works,,Covid Prevention,2,486280,PP Interprises,,,,,,,,,
116,25-Nov-2020 12:00 AM,11-Aug-2020 5:00 PM,Supply of essential drugs for treatment of COVID-19/ EOI_143517_P_20 / 2020_NHM_18364_1,Assam,Goods,,Covid Treatment,10,1200000,"MSN Laboratories Private Limited,Sun Pharma Laboratories Limited","favipiravir - 27, famotide - 0.26",,,,,,,,
117,07-Dec-2020 12:00 AM,09-Aug-2020 12:00 PM,Development of Covid Hospital at Voltas Company on Pokhran road no. 02 of Vartak nagar ward committe/ TMC/PRO/PWD-HO/303/2020-21 / 2020_TMC_601951_1,Maharashtra,Works,,Covid Ward,4,228090832.3,M/s. Shayona Corporation,,,,,,,,,
118,30-Dec-2020 12:00 AM,08-Aug-2020 11:00 AM,Upgradation of 24 nos. of existing Hospitals for setting up of ICUs for treatment of patients of COVID-19 under Assam Critical Care Project-2020 at Goalpara/ DIS-COV -19/10 (RT) / 2020_PWBNH_18326_1,Assam,Works,,Covid Ward,2,13916800,Harunur Rashid,,,,,,,,,
119,24-Dec-2020 12:00 AM,08-Aug-2020 11:00 AM,Upgradation of 24 nos. of existing Hospitals for setting up of ICUs for treatment of patients of COVID-19 under Assam Critical Care Project-2020 at Sonitpur MCH (Parua Chariali)/ DIS-COV -19/11 (RT) / 2020_PWBNH_18327_1,Assam,Works,,Covid Ward,2,42954000,Bora Electricals,,,,,,,,,
120,08-Sep-2020 12:00 AM,07-Aug-2020 6:00 PM,"Est No RSD OW 890 2020 21, Providing Split type A.C. unit to VIP ward for Covid 19 at 100 Beded Womans Hospital Ratnagiri Tal and Dist Ratnagiri./ E tender notice no. 18 of 2020-21 / 2020_PWDM_601694_1",Maharashtra,Works,,Covid Ward -Women,3,666547,Kelambai Electric Works,,,,,,,,,
121,27-Aug-2020 12:00 AM,06-Aug-2020 6:00 PM,"Providing and Fixing of Temparory Shed Under COVID-19 in Civil Hospital, Manimajra, Chandigarh./ EECP5/2020/1346-61 dated 06.08.2020 / 2020_CHD_56418_1",Chandigarh UT,Works,,Covid Ward,5,707045,A K ENTERPRISES,,,,,,,,,
122,07-Oct-2020 12:00 AM,06-Aug-2020 6:00 PM,"Electrical Installation work for setting up Isolation facility at the Al-AMEEN MOZADDEIYA Hospital,Taki Road under Basirhat Health District in respect to preparation of Quarantine Centre to combat the spread of COVID-19--S.I.T.C of 62. 5 KVA Back Up/ WBPWD/EE/N24PRG/ELEC/68/20-21 / 2020_WBPWD_292226_1",West Bengal,Works,,Covid Prevention,5,787500,Mayank International Pvt Ltd,,,,,,,,,
123,03-Nov-2020 12:00 AM,06-Aug-2020 9:00 AM,"Piple Laying, Water Tank and Masonry and Finishing works for toilet&amp;#x0d;/ 156/20-21/Covid Toilet / 2020_LSGD_375001_1",Kerala,Works,,Covid Ward,2,955624,DINESHAN. M.,,,,,,,,,
124,19-Jan-2021 12:00 AM,06-Aug-2020 9:00 AM,"Procurement, installation and commissioning PSA Oxygen Generation Plant (100LPM) on turnkey basis to prepare 10 District Hospitals (Tawang, Bomdila, Ziro, Aalo, Tezu, Namsai, Changlang, Khonsa, Seppa, and Yingkiong) to fight COVID-19 under NESIDS/ COVID-19/MDEV-43/2020/P-III / 2020_DHS_317_1",Arunachal Pradesh,Works,,Covid Treatment,4,40418000,M/S POPU ENTERPRISES,"7300000 - 1 O2 plant, 10 bought",,,,,,,,
125,20-Nov-2020 12:00 AM,04-Aug-2020 2:00 PM,Deployment of Truck for Drinking Water supply by Polythene Storage Tank during scarcity of drinking water in different Pockets/Spots/ Habitations in/c Covid-19 affected areas within Jolaibari R.D. Block during the year 2020-21./ 81/DNIeT/EE/DWS/BLN/2020-21 / 2020_CEDWS_11877_1,Tripura,Works,,Covid Allied Work,3,223650,SRI DEBABRATA PAL,,,,,,,,,
126,02-Nov-2020 12:00 AM,04-Aug-2020 2:00 PM,Deployment of Truck for Drinking Water supply by Polythene Storage Tank during scarcity of drinking water in different Pockets/Spots/ Habitations in/c Covid-19 affected areas within Rajnagar and BC Nagar R.D. Block during the year 2020-21./ 79/DNIeT/EE/DWS/BLN/2020-21 / 2020_CEDWS_11870_1,Tripura,Works,,Covid Allied Work,1,366300,ABHIJIT SAHA,,,,,,,,,
127,02-Nov-2020 12:00 AM,04-Aug-2020 2:00 PM,Deployment of Truck for Drinking Water supply by Polythene Storage Tank during scarcity of drinking water in different Pockets/Spots/ Habitations in/c Covid-19 affected areas within Rupaichari R.D. Block during the year 2020-21./ 80/DNIeT/EE/DWS/BLN/2020-21 / 2020_CEDWS_11875_1,Tripura,Works,,Covid Allied Work,2,234900,HIMADRI SAHA,,,,,,,,,
128,29-Sep-2020 12:00 AM,04-Aug-2020 9:45 AM,Construction Of Laundry Room in Govt. Ayurvedic Hospital Premises at Nanded Tal. Dist.Nanded (Under COVID-19)/ PWD/NED/09/2020-21 / 2020_PWR_600497_3,Maharashtra,Works,,Covid Allied Work,6,2189433,"M/s ANANTKRUPA CONSTRUCTION,M/s Jogdand Construction Nanded,pawade swapnil,RAM MAHADEV LAHAVHARE,tuljai enterprises",,,,,,,,,
129,14-Aug-2020 12:00 AM,04-Aug-2020 9:30 AM,Repairs To Hostel Building At District Sport Complex At Nanded (Isolation Ward Under Covid -19) Tq. and Dist. Nanded/ PWD/NED/09/2020-21 / 2020_PWR_600497_2,Maharashtra,Works,,Covid Ward,5,2596859,"PRATIK CONSTRUCTION,SAI CONSTRUCTION",,,,,,,,,
130,02-Nov-2020 12:00 AM,03-Aug-2020 6:55 PM,Deployment of Truck for Drinking Water supply by Polythene Storage Tank during scarcity of drinking water in different Pockets/Spots/ Habitations in/c Covid-19 affected areas within Hrishyamukh R.D. Block and BMC during the year 2020-21./ 75/DNIeT/EE/DWS/BLN/2020-21 / 2020_CEDWS_11855_1,Tripura,Works,,Covid Allied Work,1,242775,Ratan Sarkar,,,,,,,,,
131,09-Nov-2020 12:00 AM,03-Aug-2020 4:00 PM,Suppling of Following material at A.MC. Store and various Covid care centre/ AMC/STORE/2020/100 / 2020_AMCA_600374_1,Maharashtra,Services,,Covid Ward,5,1539700,New Bharat Stores,,,,,,,,,
132,15-Dec-2020 12:00 AM,03-Aug-2020 10:00 AM,Estimate No. 121008 of 2020.2021 Providing 160 KVA DG Set for IPD Building at GMC Hospital Miraj Dist.Sangli. (for Covid-19 Works)/ eTender No.17 of 2020.21 / 2020_PWDM_600102_1,Maharashtra,Works,,Covid Ward,3,1498529,s s electricals,,,,,,,,,
