S.No.,AOC Date,e-Published Date,Title and Ref.No./Tender Id,State Name
b'56223.',b'17-Oct-2020 12:00 AM',b'21-May-2020 05:00 PM',"b'C/o 6 No. Type-II Quarters with Parking (Block-B), C/o Building Portion with Water Supply, Sanitary Installation, C/o Septic Tank with Soak Pit, Rain Water Harvesting Tank, Site Development and C/o Retaining Walls/ NAHAN 22-40 / 2020_PWD_37341_3'",b'Himachal Pradesh',b'2020_PWD_37341_3'
b'56224.',b'18-Aug-2020 12:00 AM',b'21-May-2020 05:00 PM',b'ROAD RESTORATION WORK FROM MERCY COLLEGE TO THIRUNELLAI PALAYAM ROAD REACH 3  2000m DUE TO KWA PIPE LINE LAYING UNDER AMRUT PROJECT 2019 20 BMBC/ E1-15127/2020 / 2020_LSGD_358239_1',b'Kerala',b'2020_LSGD_358239_1'
b'56225.',b'17-Sep-2020 12:00 AM',b'21-May-2020 05:00 PM',"b'interlock and Retarring in ward 5/ E/78/TVLA/2020 Thiruvalla muncipality 2020-21,proj / 2020_LSGD_358142_1'",b'Kerala',b'2020_LSGD_358142_1'
b'56226.',b'30-May-2020 12:00 AM',b'21-May-2020 05:00 PM',b'Construction Of Cement Concrete Road At Village Sunderkhed(GP Sawla)  Tal  Dist Buldana(Tar Colony)/ NIT08/2020-21 / 2020_BULDH_577960_1',b'Maharashtra',b'2020_BULDH_577960_1'
b'56227.',b'12-Jun-2020 12:00 AM',b'21-May-2020 05:00 PM',b'Paravur Municipality 2020-21 Thekkumbhagam Nagarukavu Road Re-tarring in Ward No.16 (Pro. No.160/20-21)/ 11/ME/PVR/20-21 / 2020_LSGD_358367_1',b'Kerala',b'2020_LSGD_358367_1'
b'56228.',b'18-Aug-2020 12:00 AM',b'21-May-2020 05:00 PM',b'ROAD RESTORATION WORK FROM MERCY COLLEGE TO THIRUNELLAI PALAYAM ROAD REACH 1 700m  DUE TO KWA PIPE LINE LAYING UNDER AMRUT PROJECT 2019 20 BMBC/ E1-15124/2020 / 2020_LSGD_358197_1',b'Kerala',b'2020_LSGD_358197_1'
b'56229.',b'02-Jul-2020 12:00 AM',b'21-May-2020 05:00 PM',"b'Concrete,Retarring/ 1/AE/LSGD/KPM/20-21 / 2020_LSGD_358316_1'",b'Kerala',b'2020_LSGD_358316_1'
b'56230.',b'12-Jun-2020 12:00 AM',b'21-May-2020 05:00 PM',b'Paravur Municipality Pannikulam Charuvila Colony Road Balance Portion Concreting in Ward No. 8 Pro No143/20-/ 10/ME/PVR/20-21 / 2020_LSGD_358202_1',b'Kerala',b'2020_LSGD_358202_1'
b'56211.',b'22-May-2020 12:00 AM',b'21-May-2020 05:15 PM',b'SALE OF CENEX/ 22052020 / 2020_PCKL_358432_1',b'Kerala',b'2020_PCKL_358432_1'
b'56212.',b'24-Sep-2020 12:00 AM',b'21-May-2020 05:10 PM',b'Laying of H.T. and L.T. Line and Decorative Lighting from Majan Mode to Nigahi mode/ 241/SMC/2020 / 2020_UAD_90380_1',b'Madhya Pradesh',b'2020_UAD_90380_1'
b'56213.',b'01-Oct-2020 12:00 AM',b'21-May-2020 05:05 PM',"b'Construction of Nekham Bahdhari Gaon road Ch. 0.00 m to 1900.00 m under SOPD-G for the Year 2019-20 under PWRD, Chabua, Duliajan and Naharkatia Territorial Road Division, Duliajan - Naharkatia LAC./ DRC-XIII/16/98/NIT/DIB/242 / 2020_PWD_17625_21'",b'Assam',b'2020_PWD_17625_21'
b'56214.',b'17-Jul-2020 12:00 AM',b'21-May-2020 05:05 PM',b'TRANSPORTATION OF MILK FROM OUR MILK CHILLING CENTRES TO MILK UNION ALL PUNJAB CHANDIGARH DELHI AND HARYANA/ 0102 / 2020_Coop_47722_1',b'Punjab',b'2020_Coop_47722_1'
b'56215.',b'29-May-2020 03:36 PM',b'21-May-2020 05:02 PM',"b'Providing Repairs, Sump, Electrification, Water Supply arrangements to SC Boys Hostel at Doulthabad (VM) of Siddipet District/ EE/TSEWIDC/MDK/NIT/10/2020-21, dt: 21.05.2020 / 175340'",b'Telegana',b'175340'
b'56216.',b'30-May-2020 12:00 AM',b'21-May-2020 05:00 PM',b'Providing Ro Plant System At Tavkheda P N Tal&amp;#x0d;\nShindkheda Dist Dhule/ GP TAVKHEDA P N /01/2020-21 / 2020_DHULE_577935_1',b'Maharashtra',b'2020_DHULE_577935_1'
b'56217.',b'17-Nov-2020 12:00 AM',b'21-May-2020 05:00 PM',b'Govindhankulangara -Kulangara madom Road Retarring. ward 25/ E/138/TVLA/2020 Thiruvalla Municipality 2020-21 pr / 2020_LSGD_358207_1',b'Kerala',b'2020_LSGD_358207_1'
b'56218.',b'18-Aug-2020 12:00 AM',b'21-May-2020 05:00 PM',b'ROAD RESTORATION WORK FROM MERCY COLLEGE TO THIRUNELLAI PALAYAM ROAD REACH 3  2000m DUE TO KWA PIPE LINE LAYING UNDER AMRUT PROJECT 2019 20 BMBC/ E1-15127/2020 / 2020_LSGD_358239_1',b'Kerala',b'2020_LSGD_358239_1'
b'56219.',b'18-Aug-2020 12:00 AM',b'21-May-2020 05:00 PM',b'ROAD RESTORATION WORK FROM MERCY COLLEGE TO THIRUNELLAI PALAYAM ROAD REACH 1 700m  DUE TO KWA PIPE LINE LAYING UNDER AMRUT PROJECT 2019 20 BMBC/ E1-15124/2020 / 2020_LSGD_358197_1',b'Kerala',b'2020_LSGD_358197_1'
b'56220.',b'14-Sep-2020 12:00 AM',b'21-May-2020 05:00 PM',"b'Running Mtc of Ball Tube Mills(BBD-4760), Gravimetric Feeders etc. 210 MW, Unit 6, PTPS/ 407/PTP/U-6/BMD-50/VOL-XXIX DATED 21.05.2020 / 2020_HBC_129162_1'",b'Haryana',b'2020_HBC_129162_1'
b'56201.',b'06-Jul-2020 12:00 AM',b'21-May-2020 05:30 PM',"b'Resistivity survey by VES method using Schlumberger configuration for locating the proper spot with three soundings for drilling of tubewell within the selected Habitation, including photography , interpretation of resistivity data and submission of/ 03/EE/2020-21 / 2020_PHED_90309_1'",b'Madhya Pradesh',b'2020_PHED_90309_1'
b'56202.',b'29-Jul-2020 12:00 AM',b'21-May-2020 05:30 PM',"b'Renewal GT Road to Nurpur Ashram to Baxar Ghat Marg 1, 2, 3, 4, 5, 6 (025)./ 1502/95C/etendering/P.F.C/2020 Dt 30.4.2020(9) / 2020_CEALD_473814_1'",b'Uttar Pradesh',b'2020_CEALD_473814_1'
b'56203.',b'25-Aug-2020 12:00 AM',b'21-May-2020 05:30 PM',b'Annual repair / Maintenance of GBP Hospital Complex / SH Maintenance of water supply and sanitary installation and other petty repair works during the year 2018-19.(Group-I)/ CE(B)/PWD/DNIT/ACE/Project Unit/30 / 2020_CEPWD_10136_1',b'Tripura',b'2020_CEPWD_10136_1'
b'56204.',b'03-Sep-2020 12:00 AM',b'21-May-2020 05:30 PM',b'T.P.W.S. Water Supply Scheme At  WANOJA Tq. Anjangaon Surji Di. Amravati/ EE/RWSD / ZP / Ten / 02 /2020-21 / 2020_AMRAV_577930_9',b'Maharashtra',b'2020_AMRAV_577930_9'
b'56205.',b'22-Jul-2020 12:00 AM',b'21-May-2020 05:30 PM',b'CONSTRUCTION OF CC ROAD AND ROAD REPAIRING WORK VARIOUS LOCATION WARD IN MUNICIPAL AREA/ NIT No. 488 Dt. 07.02.2020 / 2020_UAD_79159_2',b'Madhya Pradesh',b'2020_UAD_79159_2'
b'56206.',b'29-Jul-2020 12:00 AM',b'21-May-2020 05:30 PM',"b'Survey, Investigation, Design and Construction of Piped Water Supply Scheme at Village  Beed Bujurg  Block Gogawa  DistrictKhargonebased on tubewells including installation of electric submersible/open well submersible water motor pump, constructio/ 02/EE/2020-21 / 2020_PHED_90293_1'",b'Madhya Pradesh',b'2020_PHED_90293_1'
b'56207.',b'10-Sep-2020 12:00 AM',b'21-May-2020 05:30 PM',b'Special Repair to  Water Supply Scheme At  Bhawar Tq.  Dharni Dist Amravati/ EE/RWSD / ZP / Ten / 02 /2020-21 / 2020_AMRAV_577930_11',b'Maharashtra',b'2020_AMRAV_577930_11'
b'56208.',b'30-Jul-2020 12:00 AM',b'21-May-2020 05:25 PM',b'A.C. Maintenance with Servicing at Head office N.P.N/ 601/SMC/2020 / 2020_UAD_90388_1',b'Madhya Pradesh',b'2020_UAD_90388_1'
b'56209.',b'24-Jun-2020 12:00 AM',b'21-May-2020 05:20 PM',b'Day to Day operation of sewerage and storm water disposal at MIE Bahadurgarh/ Day to day Operation of SW disposal MIE Bahadurgar / 2020_HBC_129190_1',b'Haryana',b'2020_HBC_129190_1'
b'56210.',b'30-May-2020 12:00 AM',b'21-May-2020 05:15 PM',b'PROVIDING AND ERECTING  HIGHMAST LIGHT/ E TENDER-01-2020-21 / 2020_NASHI_577977_1',b'Maharashtra',b'2020_NASHI_577977_1'
b'56191.',b'27-Jul-2020 12:00 AM',b'21-May-2020 06:00 PM',b'Immediate measures to Saikhowa bund Ph-II at Milanpur area for 2019-20/ DIB/SDRF/MILANPUR/2020-21/1 / 2020_DoWR_17660_1',b'Assam',b'2020_DoWR_17660_1'
b'56192.',b'23-Nov-2020 12:00 AM',b'21-May-2020 06:00 PM',"b'Providing and laying Water Supply System For Residential Sector -17 Pocket A,B and C, YEIDA/ YEA/GM(PROJECT)/2020/766 DT-12/05/2020 / 2020_YEIDA_469564_7'",b'Uttar Pradesh',b'2020_YEIDA_469564_7'
b'56193.',b'04-Jun-2020 12:00 AM',b'21-May-2020 06:00 PM',"b'Felling of Trees from Forest and Non-Forest areas with extraction of Stumps, Conversion, Measurement, Recording, Loading, Carriage, Unloading,  Stacking (Making Lots) In Sale Depots and all related works as mentioned in S.O.R. with additional require/ GM/HFDC/HSR/01/2020-21 / 2020_HBC_129202_1'",b'Haryana',b'2020_HBC_129202_1'
b'56194.',b'16-Jun-2020 12:00 AM',b'21-May-2020 06:00 PM',b'MPT PT Vaan/ 1548 / 2020_WDSC_183919_2',b'Rajasthan',b'2020_WDSC_183919_2'
b'56195.',b'03-Jul-2020 12:00 AM',b'21-May-2020 05:55 PM',b'Special Repair to Water Supply Scheme At DIGARGAWAN Tq. Amravati Di. Amravati/ EE/RWSD / ZP / Ten / 02 /2020-21 / 2020_AMRAV_577930_14',b'Maharashtra',b'2020_AMRAV_577930_14'
b'56196.',b'03-Jul-2020 12:00 AM',b'21-May-2020 05:50 PM',b'Special Repair to Water Supply Scheme At BODNA Tq. Amravati Di. Amravati/ EE/RWSD / ZP / Ten / 02 /2020-21 / 2020_AMRAV_577930_13',b'Maharashtra',b'2020_AMRAV_577930_13'
b'56197.',b'10-Jun-2020 12:00 AM',b'21-May-2020 05:50 PM',b'Peth Sangli Miraj Mhaisal Road State Highway 152 Km 42/500 (Irwin Major bridge)/ E-Tender Notice No. 06 for 2020-21 / 2020_PWDRP_577986_1',b'Maharashtra',b'2020_PWDRP_577986_1'
b'56198.',b'25-Sep-2020 12:00 AM',b'21-May-2020 05:45 PM',"b'Construction of Road  Dirial Gaon to Gulimora Gaon Road Ch. 0.00 m to 600.00 m under SOPD-G for the Year 2019-20, under PWRD, Chabua, Duliajan and Naharkatia Territorial Road Division, Duliajan - Duliajan LAC./ DRC-XIII/16/98/NIT/DIB/242 / 2020_PWD_17625_25'",b'Assam',b'2020_PWD_17625_25'
b'56199.',b'19-Jun-2020 12:00 AM',b'21-May-2020 05:30 PM',b'Const. of 01(one) unit of ACR at Choupal Jamalpur Jr High School/ e1H1DB202021 / 2020_DMM_283298_8',b'West Bengal',b'2020_DMM_283298_8'
b'56200.',b'25-Aug-2020 12:00 AM',b'21-May-2020 05:30 PM',b'Annual repair / Maintenance of GBP Hospital Complex / SH Maintenance of water supply and sanitary installation and other petty repair works during the year 2018-19.(Group-I)/ CE(B)/PWD/DNIT/ACE/Project Unit/30 / 2020_CEPWD_10136_1',b'Tripura',b'2020_CEPWD_10136_1'
b'56181.',b'12-Aug-2020 12:00 AM',b'21-May-2020 06:00 PM',b'Immediate measures to restore damage due to flood on the L/B of river Kundil at 8th mile RCC bridge for 2019-20/ DIB/SDRF/8THMILE/2020-21/1 / 2020_DoWR_17671_1',b'Assam',b'2020_DoWR_17671_1'
b'56182.',b'28-Jun-2020 12:00 AM',b'21-May-2020 06:00 PM',b'CONSTRUCTION OF BUILDING/ KDK/2020-21/ETENDER No.2 -CMLRRP and MLA-SDF Fund / 2020_LSGD_358232_1',b'Kerala',b'2020_LSGD_358232_1'
b'56183.',b'27-Jul-2020 12:00 AM',b'21-May-2020 06:00 PM',b'Immediate measures to Tie bund from Nabeel to Aghunibari(Recoupment of flood damage section at Sessa -Nepali area)for 2019-20./ DIB/SDRF/NABEEL/2020-21/1 / 2020_DoWR_17668_1',b'Assam',b'2020_DoWR_17668_1'
b'56184.',b'27-Jul-2020 12:00 AM',b'21-May-2020 06:00 PM',b'Immediate measures to Saikhowa bund Ph-II at Milanpur area for 2019-20/ DIB/SDRF/MILANPUR/2020-21/1 / 2020_DoWR_17660_1',b'Assam',b'2020_DoWR_17660_1'
b'56185.',b'18-Aug-2020 12:00 AM',b'21-May-2020 06:00 PM',"b'Thazhava GP ,Annual plan 2020 21 Pro No  78, Prakash Bhavanam  biju bhavanam road concrete/ 2/AE/LSGD/TGP/2020 / 2020_LSGD_358242_5'",b'Kerala',b'2020_LSGD_358242_5'
b'56186.',b'18-Aug-2020 12:00 AM',b'21-May-2020 06:00 PM',b'Thazhava GP annual plan 2020 2021 Pro no 43 Tharayil mukku Perinattu Jn road Concrete/ 1/AE/LSGD/TGP/2020 / 2020_LSGD_357967_11',b'Kerala',b'2020_LSGD_357967_11'
b'56187.',b'18-Aug-2020 12:00 AM',b'21-May-2020 06:00 PM',"b'Thazhava GP, Annual Plan 2020-21, Pro no. 24 Altharamoodu Kinaruvila road concreting/ 1/AE/LSGD/TGP/2020 / 2020_LSGD_357967_1'",b'Kerala',b'2020_LSGD_357967_1'
b'56188.',b'17-Jun-2020 12:00 AM',b'21-May-2020 06:00 PM',b'Construction of C.C road from Premerdanga PWD  To Khattimari A.P Primary School  under Premerdanga G.P within Mathabhanga-II Dev. Block/ NIT02/MTB-II BLOCK/2020-21(SL NO-2) / 2020_DMCB_282923_1',b'West Bengal',b'2020_DMCB_282923_1'
b'56189.',b'19-Oct-2020 12:00 AM',b'21-May-2020 06:00 PM',b'MLA-LAC-ADS-2019-20-KANHANGAD  CONSTITUENCY-CONSTRUCTION OF BUILDING AT GLPS CHULLIKARA IN KALLAR GP&amp;#x0d;/ 263/19-20 / 2020_LSGD_358263_1',b'Kerala',b'2020_LSGD_358263_1'
b'56190.',b'11-Nov-2020 12:00 AM',b'21-May-2020 06:00 PM',"b'Annual contract for unloading of chemicals in Neutralisation Plant (Calcium Carbonate, Calcium Hydroxide, Sodium Carbonate) from open trucks/  Containers  and to place to godown in Neutralization Plant or place  denoted for store the chemicals/ TTP/CD/CN/KV-7/Chemicals Unloading/20-21 / 2020_TTPL_357929_1'",b'Kerala',b'2020_TTPL_357929_1'
b'56171.',b'04-Jun-2020 12:00 AM',b'21-May-2020 06:00 PM',"b'Annual maintenance of Sewerage scheme in Sector- P.L.A., Hisar. Operation and maintenance of sewer line of various sizes, disposal of sludge foreign material outside of sector area and all other works contingent thereto From 02.06.2020 to 31.08.2020/ Job No. 162 / 2020_HBC_129180_1'",b'Haryana',b'2020_HBC_129180_1'
b'56172.',b'28-Jun-2020 12:00 AM',b'21-May-2020 06:00 PM',b'ROAD CONSTRUCTION/ KDK/2020-21/ETENDER No.2 -CMLRRP and MLA-SDF Fund / 2020_LSGD_358232_4',b'Kerala',b'2020_LSGD_358232_4'
b'56173.',b'10-Aug-2020 12:00 AM',b'21-May-2020 06:00 PM',b'Cleaning of metalled roads and berms in Sector-3 and their disposal upto the solid waste disposal sites of IMT Manesar for a period of Four Months./ Cleaning of roads in Sector-3 at IMT Manesar / 2020_HBC_129171_1',b'Haryana',b'2020_HBC_129171_1'
b'56174.',b'20-Aug-2020 12:00 AM',b'21-May-2020 06:00 PM',"b'Cleaning of office complex, Auditorium Hall and surrounding area of HSIIDC Office Complex IMT Manesar for a period of Five Months./ Cleaning of office complex bldg. at IMT Manesar / 2020_HBC_129247_1'",b'Haryana',b'2020_HBC_129247_1'
b'56175.',b'19-Oct-2020 12:00 AM',b'21-May-2020 06:00 PM',b'MLA-LAC-ADS-2019-20-KANHANGAD  CONSTITUENCY-CONSTRUCTION OF BUILDING AT GLPS CHULLIKARA IN KALLAR GP&amp;#x0d;/ 263/19-20 / 2020_LSGD_358263_1',b'Kerala',b'2020_LSGD_358263_1'
b'56176.',b'28-Sep-2020 12:00 AM',b'21-May-2020 06:00 PM',b'MLA-LAC-ADS-2017-18-UDUMA CONSTITUENCY-AMMANKOD&amp;#x0d;\nKOLIYADUKKA ASARIMOOLA ROAD TARRING MULIYAR GP/ 11/19-20 / 2020_LSGD_349081_40',b'Kerala',b'2020_LSGD_349081_40'
b'56177.',b'22-Dec-2020 12:00 AM',b'21-May-2020 06:00 PM',b'Bituminous Patch Repairing Work on Various Main Roads of The City. Phase - II/ 118/SE/BILLS/19-20/G-02 / 2020_UAD_90315_1',b'Madhya Pradesh',b'2020_UAD_90315_1'
b'56178.',b'19-Sep-2020 12:00 AM',b'21-May-2020 06:00 PM',b'General maintenance including ordinary repairs and resurfacing of Lucknow - Sultanpur bypass Section of  NH-56 (Old)  ch. 101.170 to 102.064 and ch. 104.520 to 110.348 (Musafirkhana Abadi Portion)/ 1074 /1com.Su.a.cir./20 Dated 15.05.2020 / 2020_CEUFZ_473804_1',b'Uttar Pradesh',b'2020_CEUFZ_473804_1'
b'56179.',b'23-Nov-2020 12:00 AM',b'21-May-2020 06:00 PM',"b'Providing and laying Water Supply System For Residential Sector -17 Pocket A,B and C, YEIDA/ YEA/GM(PROJECT)/2020/766 DT-12/05/2020 / 2020_YEIDA_469564_7'",b'Uttar Pradesh',b'2020_YEIDA_469564_7'
b'56180.',b'07-Aug-2020 12:00 AM',b'21-May-2020 06:00 PM',"b'Thazhava GP, Annual Plan 2020-21, Pro no. 118 Construction of Mini M.C.F/ 2/AE/LSGD/TGP/2020 / 2020_LSGD_358242_2'",b'Kerala',b'2020_LSGD_358242_2'
b'56161.',b'23-Jun-2020 12:00 AM',b'21-May-2020 06:00 PM',b'E_W in excavation of Main canal ch.0-4500M and C.C. Lining of Main Canal ch.5177_5294M/ 01 _SOPD_ 2020-21  Dt_16_05_2020 / 2020_ID_17656_2',b'Assam',b'2020_ID_17656_2'
b'56162.',b'18-Aug-2020 12:00 AM',b'21-May-2020 06:00 PM',"b'Thazhava GP, Annual Plan 2020-21, Pro no.104 Cheruthitta Theeppetti company road concrete/ 1/AE/LSGD/TGP/2020 / 2020_LSGD_357967_6'",b'Kerala',b'2020_LSGD_357967_6'
b'56163.',b'27-Jul-2020 12:00 AM',b'21-May-2020 06:00 PM',b'Immediate measures to Saikhowa bund Ph-II at Milanpur area for 2019-20/ DIB/SDRF/MILANPUR/2020-21/1 / 2020_DoWR_17660_1',b'Assam',b'2020_DoWR_17660_1'
b'56164.',b'07-Aug-2020 12:00 AM',b'21-May-2020 06:00 PM',"b'Thazhava GP, Annual Plan 2020-21, Pro no. 118 Construction of Mini M.C.F/ 2/AE/LSGD/TGP/2020 / 2020_LSGD_358242_2'",b'Kerala',b'2020_LSGD_358242_2'
b'56165.',b'17-Jun-2020 12:00 AM',b'21-May-2020 06:00 PM',b'Construction Of Cement Concrete Road At Village Sunderkhed(GP Sawla)  Tal  Dist Buldana(Bhushan Nagar)/ NIT10/2020-21 / 2020_BULDH_577982_1',b'Maharashtra',b'2020_BULDH_577982_1'
b'56166.',b'09-Jun-2020 12:00 AM',b'21-May-2020 06:00 PM',b'FLOOD CONTROL WORKS/ DSC(3)562 / 2020_DSSC_358437_1',b'Kerala',b'2020_DSSC_358437_1'
b'56167.',b'20-Jun-2020 12:00 AM',b'21-May-2020 06:00 PM',b'NH-2 BARAUKH ROAD KM 3 SE FATEHPURA MARG/ 504/11A/2020-21 DT 13.05.2020 / 2020_CEKNP_473823_6',b'Uttar Pradesh',b'2020_CEKNP_473823_6'
b'56168.',b'20-Jun-2020 12:00 AM',b'21-May-2020 06:00 PM',b'Renewal of betiyapur marg to tada marg./ 504/11A/2020-21 DT 13.05.2020 / 2020_CEKNP_473823_1',b'Uttar Pradesh',b'2020_CEKNP_473823_1'
b'56169.',b'12-Aug-2020 12:00 AM',b'21-May-2020 06:00 PM',b'Restoration of damaged section of Namrup-Tingkhong road due to Flood of river Desang at Namrup T.E. Near Namrup Railway Station under SDRF for 2019-20/ DIB/SDRF/NAMRUP/2020-21/1 / 2020_DoWR_17663_1',b'Assam',b'2020_DoWR_17663_1'
b'56170.',b'04-Jun-2020 12:00 AM',b'21-May-2020 06:00 PM',"b'Annual maintenance of Sewerage scheme in Sector- P.L.A., Hisar. Operation and maintenance of sewer line of various sizes, disposal of sludge foreign material outside of sector area and all other works contingent thereto From 02.06.2020 to 31.08.2020/ Job No. 162 / 2020_HBC_129180_1'",b'Haryana',b'2020_HBC_129180_1'
b'56151.',b'28-Jun-2020 12:00 AM',b'21-May-2020 06:00 PM',b'ROAD RETARRING/ KDK/2020-21/ETENDER No.2 -CMLRRP and MLA-SDF Fund / 2020_LSGD_358232_5',b'Kerala',b'2020_LSGD_358232_5'
b'56152.',b'20-Jun-2020 12:00 AM',b'21-May-2020 06:00 PM',b'NH-2 BARAUKH ROAD KM 3 SE FATEHPURA MARG/ 504/11A/2020-21 DT 13.05.2020 / 2020_CEKNP_473823_6',b'Uttar Pradesh',b'2020_CEKNP_473823_6'
b'56153.',b'20-Jun-2020 12:00 AM',b'21-May-2020 06:00 PM',b'Renewal of betiyapur marg to tada marg./ 504/11A/2020-21 DT 13.05.2020 / 2020_CEKNP_473823_1',b'Uttar Pradesh',b'2020_CEKNP_473823_1'
b'56154.',b'21-Aug-2020 12:00 AM',b'21-May-2020 06:00 PM',"b'SUPPLY OF UNLAMINATED POLYPROPYLENE WOVEN BAGS(NON GUSSETED TYPE) FOR PPC   FOR PACKING CEMENT AT CEMENT GRIDING UNIT,CHERTHALA/ MCL/BM/828/2020 / 2020_MCL_354120_2'",b'Kerala',b'2020_MCL_354120_2'
b'56155.',b'20-Aug-2020 12:00 AM',b'21-May-2020 06:00 PM',"b'Cleaning of office complex, Auditorium Hall and surrounding area of HSIIDC Office Complex IMT Manesar for a period of Five Months./ Cleaning of office complex bldg. at IMT Manesar / 2020_HBC_129247_1'",b'Haryana',b'2020_HBC_129247_1'
b'56156.',b'10-Oct-2020 12:00 AM',b'21-May-2020 06:00 PM',"b'Renewal with General Repair of Shihapar Shahpur road to Ghagsara road in km-1,2,3,4,5,6,7,8,9,10,11(500) (Lot No 1/4)/ 2334/135C-GKP Circle/2020 dated 13-05-2020 / 2020_CEGKP_473793_1'",b'Uttar Pradesh',b'2020_CEGKP_473793_1'
b'56157.',b'18-Aug-2020 12:00 AM',b'21-May-2020 06:00 PM',b'Thazhava GP Annual Plan 2020  21  Pro no 102  kanjirappalli jn  Maralilmukku road concreting/ 1/AE/LSGD/TGP/2020 / 2020_LSGD_357967_14',b'Kerala',b'2020_LSGD_357967_14'
b'56158.',b'05-Aug-2020 12:00 AM',b'21-May-2020 06:00 PM',b'FD - Side protection works to Bevinje Pazhayakadavu thodu at Mundakulam in Chengala Panchayat/ EE/MI/ET/10/2020-21 / 2020_Irrig_358410_2',b'Kerala',b'2020_Irrig_358410_2'
b'56159.',b'22-Dec-2020 12:00 AM',b'21-May-2020 06:00 PM',b'Bituminous Patch Repairing Work on Various Main Roads of The City. Phase - II/ 118/SE/BILLS/19-20/G-02 / 2020_UAD_90315_1',b'Madhya Pradesh',b'2020_UAD_90315_1'
b'56160.',b'28-Sep-2020 12:00 AM',b'21-May-2020 06:00 PM',b'MLA-LAC-ADS-2017-18-UDUMA CONSTITUENCY-AMMANKOD&amp;#x0d;\nKOLIYADUKKA ASARIMOOLA ROAD TARRING MULIYAR GP/ 11/19-20 / 2020_LSGD_349081_40',b'Kerala',b'2020_LSGD_349081_40'
b'56141.',b'20-Aug-2020 12:00 AM',b'21-May-2020 06:00 PM',b'Cleaning of metalled roads and berms in Sector-5 and their disposal upto the solid waste disposal sites of IMT Manesar for a period of five months./ Cleaning of roads in Sector-5 at IMT Manesar / 2020_HBC_129214_1',b'Haryana',b'2020_HBC_129214_1'
b'56142.',b'20-Aug-2020 12:00 AM',b'21-May-2020 06:00 PM',b'Cleaning of metalled roads and berms in Sector-4 and their disposal upto the solid waste disposal sites of IMT Manesar for a period of four months./ Cleaning of roads in Sector-4 at IMT Manesar / 2020_HBC_129177_1',b'Haryana',b'2020_HBC_129177_1'
b'56143.',b'19-Aug-2020 12:00 AM',b'21-May-2020 06:00 PM',b'Immediate measures to Saikhowa bund Ph-II at Sissini Bhojoni for 2019-20/ DIB/SDRF/SISSINI/2020-21/1 / 2020_DoWR_17661_1',b'Assam',b'2020_DoWR_17661_1'
b'56144.',b'20-Jun-2020 12:00 AM',b'21-May-2020 06:00 PM',b'Renewal of betiyapur marg to tada marg./ 504/11A/2020-21 DT 13.05.2020 / 2020_CEKNP_473823_1',b'Uttar Pradesh',b'2020_CEKNP_473823_1'
b'56145.',b'23-Jun-2020 12:00 AM',b'21-May-2020 06:00 PM',b'E_W in excavation of Main canal ch.0-4500M and C.C. Lining of Main Canal ch.5177_5294M/ 01 _SOPD_ 2020-21  Dt_16_05_2020 / 2020_ID_17656_2',b'Assam',b'2020_ID_17656_2'
b'56146.',b'20-Jun-2020 12:00 AM',b'21-May-2020 06:00 PM',b'NH-2 BARAUKH ROAD KM 3 SE FATEHPURA MARG/ 504/11A/2020-21 DT 13.05.2020 / 2020_CEKNP_473823_6',b'Uttar Pradesh',b'2020_CEKNP_473823_6'
b'56147.',b'23-Jun-2020 12:00 AM',b'21-May-2020 06:00 PM',"b'C.C. Lining of M_C ch..4844-5177m, C.C. Lining of Branch Canal D1 and D6, Constn of Inlet and outlet structures  Constn of D3 bricklined canal and Constn of water course./ 01 _SOPD_ 2020-21  Dt_16_05_2020 / 2020_ID_17656_1'",b'Assam',b'2020_ID_17656_1'
b'56148.',b'29-Jun-2020 12:00 AM',b'21-May-2020 06:00 PM',"b'Emergent pre monsoon pot holes repairing Works to Takagach Village path (from Kashab Road to Yaba Sangha more), Kalika Das road by lane, Debi Bari road to bandh, Mustafi para road of section II  under Cooch Behar Sub Division No. I, PWD during 20-21/ WBPWD/EE/COB_DIVN/NIT_02/20_21 / 2020_WBPWD_283309_1'",b'West Bengal',b'2020_WBPWD_283309_1'
b'56149.',b'30-May-2020 12:00 AM',b'21-May-2020 06:00 PM',b'Construction Of Cement Concrete Road At Village Sunderkhed(GP Sawla)  Tal  Dist Buldana(Bhim Nagar/Chandak Layout)/ NIT12/2020-21 / 2020_BULDH_578000_1',b'Maharashtra',b'2020_BULDH_578000_1'
b'56150.',b'21-Aug-2020 12:00 AM',b'21-May-2020 06:00 PM',"b'SUPPLY OF UNLAMINATED POLYPROPYLENE WOVEN BAGS(NON GUSSETED TYPE) FOR PPC   FOR PACKING CEMENT AT CEMENT GRIDING UNIT,CHERTHALA/ MCL/BM/828/2020 / 2020_MCL_354120_2'",b'Kerala',b'2020_MCL_354120_2'
b'56131.',b'30-Jul-2020 12:00 AM',b'21-May-2020 06:30 PM',b'Renewal with General Maintenance of Sisaiya Nalga Link Road and Kachian Nagla Link Road/ 658/E-Tender /4A Dt 09-04-2020 / 2020_CEBLY_458248_2',b'Uttar Pradesh',b'2020_CEBLY_458248_2'
